Date,LSTM_30d_forecast
2026-04-20,4595.9756
2026-04-21,4364.068
2026-04-22,4115.1265
2026-04-23,3882.4011
2026-04-24,3687.4275
2026-04-27,3541.2349
2026-04-28,3444.646
2026-04-29,3392.3484
2026-04-30,3376.124
2026-05-01,3386.703
2026-05-04,3414.634
2026-05-05,3450.8792
2026-05-06,3487.112
2026-05-07,3516.1926
2026-05-08,3532.767
2026-05-11,3535.5798
2026-05-12,3521.1501
2026-05-13,3490.0671
2026-05-14,3446.064
2026-05-15,3394.2922
2026-05-18,3339.1667
2026-05-19,3285.2786
2026-05-20,3236.186
2026-05-21,3194.2415
2026-05-22,3160.5513
2026-05-25,3135.1335
2026-05-26,3117.1687
2026-05-27,3105.313
2026-05-28,3097.9053
2026-05-29,3093.2014
